"","year","average_home_price","average_mortgage"
"1","1975",61.0125,9.04711538461538
"2","1976",65.4925,8.86584905660377
"3","1977",73.41,8.84519230769231
"4","1978",83.7425,9.64173076923077
"5","1979",95.145,11.2036538461538
"6","1980",102.6525,13.7421153846154
"7","1981",107.2325,16.6415094339623
"8","1982",108.445,16.0436538461538
"9","1983",116.2625,13.2353846153846
"10","1984",121.47,13.8776923076923
"11","1985",127.6725,12.4301923076923
"12","1986",136.39,10.1873076923077
"13","1987",145.2175,10.2133962264151
"14","1988",153.01,10.3417307692308
"15","1989",161.085,10.3194230769231
"16","1990",166.14,10.1294230769231
"17","1991",169.305,9.24653846153846
"18","1992",174.0225,8.39018867924528
"19","1993",178.085,7.31461538461538
"20","1994",182.5975,8.38076923076923
"21","1995",188.1675,7.93461538461538
"22","1996",194.66,7.80615384615385
"23","1997",201.1775,7.59884615384615
"24","1998",211.4825,6.94264150943396
"25","1999",221.875,7.44
"26","2000",236.075,8.05346153846154
"27","2001",253.73,6.96788461538462
"28","2002",269.7975,6.53730769230769
"29","2003",286.62,5.82698113207547
"30","2004",313.4875,5.83923076923077
"31","2005",349.055,5.86673076923077
"32","2006",374.075,6.41326923076923
"33","2007",378.2275,6.33730769230769
"34","2008",358.8025,6.02716981132075
"35","2009",338.895,5.03653846153846
"36","2010",325.065,4.68980769230769
"37","2011",312.5175,4.44788461538462
"38","2012",311.69,3.6575
"39","2013",323.4,3.97557692307692
"40","2014",339.5575,4.1688679245283
"41","2015",356.995,3.85057692307692
"42","2016",375.685,3.65403846153846
"43","2017",396.0775,3.98980769230769
"44","2018",418.02,4.54461538461538
"45","2019",437.375,3.93576923076923
"46","2020",459.9275,3.11169811320755
"47","2021",523.1375,2.95769230769231
"48","2022",611.9375,5.34403846153846
"49","2023",646.56,6.80673076923077
